,Load_Main,Load_AreaA,Load_AreaB,Load_AreaC,Temperature
2023-01-01 00:00:00,336.517,238.883,361.620,276.694,211.234
2023-01-01 00:15:00,356.698,234.100,410.542,332.856,266.624
2023-01-01 00:30:00,412.072,267.647,498.159,381.655,276.149
2023-01-01 00:45:00,433.877,289.856,476.107,376.799,308.285
2023-01-01 01:00:00,415.007,288.923,479.598,374.440,273.501
2023-01-01 01:15:00,468.370,285.833,570.053,412.717,304.188
2023-01-01 01:30:00,525.066,363.873,587.194,495.990,336.086
2023-01-01 01:45:00,550.672,334.512,627.730,487.003,301.773
2023-01-01 02:00:00,496.054,333.843,533.612,461.093,308.565
2023-01-01 02:15:00,572.221,385.480,688.356,548.996,335.926
2023-01-01 02:30:00,589.145,366.155,682.591,522.853,347.960
2023-01-01 02:45:00,544.295,315.232,612.326,471.259,329.287
2023-01-01 03:00:00,544.295,347.177,616.072,484.003,338.535
2023-01-01 03:15:00,527.617,277.204,606.471,466.267,335.222
2023-01-01 03:30:00,542.431,348.121,634.489,499.924,349.089
2023-01-01 03:45:00,576.660,343.623,642.272,493.097,360.631
2023-01-01 04:00:00,543.073,430.829,606.163,534.961,359.449
2023-01-01 04:15:00,614.977,426.202,698.797,538.141,384.248
2023-01-01 04:30:00,530.675,346.743,615.108,458.539,358.101
2023-01-01 04:45:00,505.168,361.669,632.333,466.105,344.943
2023-01-01 05:00:00,621.962,421.901,689.569,569.499,360.296
2023-01-01 05:15:00,509.439,302.047,532.960,498.852,319.074
2023-01-01 05:30:00,561.867,349.578,690.945,510.894,341.405
2023-01-01 05:45:00,612.411,423.804,676.179,557.148,386.967
2023-01-01 06:00:00,550.741,333.968,680.313,520.930,337.035
2023-01-01 06:15:00,533.086,356.389,652.843,511.283,348.265
2023-01-01 06:30:00,532.470,362.974,629.758,447.087,300.073
2023-01-01 06:45:00,556.037,354.908,678.338,512.994,305.840
2023-01-01 07:00:00,538.562,353.873,560.735,542.888,359.981
2023-01-01 07:15:00,549.962,378.270,589.181,492.251,350.365
2023-01-01 07:30:00,498.039,343.327,581.836,461.500,342.060
2023-01-01 07:45:00,596.635,399.017,673.753,571.338,332.556
2023-01-01 08:00:00,521.034,338.348,574.068,490.049,333.021
2023-01-01 08:15:00,502.538,341.334,603.774,439.217,295.780
2023-01-01 08:30:00,495.677,271.652,578.269,454.540,335.950
2023-01-01 08:45:00,487.308,353.639,593.982,421.045,317.042
2023-01-01 09:00:00,467.778,300.742,526.044,406.842,306.550
2023-01-01 09:15:00,425.926,258.478,489.289,416.247,307.741
2023-01-01 09:30:00,399.654,274.762,508.871,386.518,279.835
2023-01-01 09:45:00,412.108,282.156,432.856,418.430,284.222
2023-01-01 10:00:00,438.341,260.511,501.334,423.596,270.917
2023-01-01 10:15:00,393.636,257.552,424.701,359.021,303.384
2023-01-01 10:30:00,367.827,240.021,477.257,316.089,270.809
2023-01-01 10:45:00,354.772,229.904,484.972,357.130,273.065
2023-01-01 11:00:00,341.306,262.449,399.218,327.771,233.654
2023-01-01 11:15:00,323.182,209.564,387.424,314.923,275.944
2023-01-01 11:30:00,324.059,207.391,369.349,310.747,254.145
2023-01-01 11:45:00,343.083,205.995,389.991,341.736,289.690
2023-01-01 12:00:00,298.203,173.211,345.607,240.824,258.766
2023-01-01 12:15:00,259.290,178.340,255.017,211.842,181.136
2023-01-01 12:30:00,310.756,190.246,378.499,266.716,259.682
2023-01-01 12:45:00,282.665,179.034,293.532,268.062,250.906
2023-01-01 13:00:00,290.622,193.858,322.892,257.312,248.899
2023-01-01 13:15:00,310.312,203.295,357.921,310.308,249.079
2023-01-01 13:30:00,314.563,207.840,337.358,289.031,243.478
2023-01-01 13:45:00,319.946,211.248,387.067,345.363,248.510
2023-01-01 14:00:00,276.623,195.420,302.902,292.194,256.940
2023-01-01 14:15:00,292.020,255.839,369.921,271.720,264.385
2023-01-01 14:30:00,299.670,225.518,316.741,245.815,237.669
2023-01-01 14:45:00,326.517,203.179,370.154,315.554,237.510
2023-01-01 15:00:00,299.632,225.148,310.276,251.169,263.663
2023-01-01 15:15:00,299.913,168.599,376.339,254.481,257.557
2023-01-01 15:30:00,285.497,171.416,318.372,253.989,238.877
2023-01-01 15:45:00,285.931,203.527,310.992,253.971,217.882
2023-01-01 16:00:00,318.150,223.694,359.794,304.856,217.881
2023-01-01 16:15:00,324.988,226.280,370.231,306.191,264.439
2023-01-01 16:30:00,296.936,178.251,354.446,250.978,229.591
2023-01-01 16:45:00,309.903,186.851,373.641,278.605,234.307
2023-01-01 17:00:00,290.995,192.426,329.794,237.800,244.884
2023-01-01 17:15:00,263.513,164.976,301.788,251.272,216.470
