date,demand_mean,demand_max,demand_min,demand_sum,rrp_mean,rrp_max,rrp_min,rrp_median,record_count
2012-07-01,8554.514,10901.710,6458.570,402062.160,58.026,79.590,34.420,58.370,47
2012-07-02,9417.618,11695.390,6800.310,452045.640,96.645,242.830,-59.280,85.850,48
2012-07-03,9569.311,11801.080,7094.820,459326.950,79.676,120.420,61.570,76.490,48
2012-07-04,9593.821,11738.110,6995.280,460503.400,71.692,115.410,54.600,68.105,48
2012-07-05,9583.006,11828.560,7060.880,459984.300,71.319,133.630,54.410,66.020,48
2012-07-06,9547.981,11386.690,7109.190,458303.100,67.860,92.220,53.970,65.620,48
2012-07-07,8895.054,10627.300,6953.280,426962.610,64.006,103.150,51.750,59.950,48
2012-07-08,8397.286,10490.400,6616.380,403069.740,60.197,96.040,49.140,55.990,48
2012-07-09,9215.730,11270.910,6742.180,442355.020,75.847,238.270,50.720,72.440,48
2012-07-10,9387.458,11338.830,6979.730,450597.980,80.554,186.550,55.090,77.605,48
2012-07-11,8839.291,10519.170,6673.440,424285.990,59.191,68.960,52.900,58.115,48
2012-07-12,9128.072,10971.920,6625.360,438147.450,65.803,106.150,43.610,66.605,48
2012-07-13,8591.519,9853.220,6625.650,412392.920,58.863,66.090,48.730,58.685,48
2012-07-14,8036.947,9563.390,6317.380,385773.460,55.876,67.150,48.290,55.910,48
2012-07-15,8006.228,10327.840,6151.530,384298.960,57.399,91.560,42.620,55.635,48
2012-07-16,8985.213,11186.800,6411.010,431290.230,62.674,78.950,50.230,59.490,48
2012-07-17,9069.909,10903.660,6906.150,435355.620,61.839,93.780,51.880,56.335,48
2012-07-18,8900.839,10780.390,6624.650,427240.250,58.685,85.810,49.740,55.875,48
2012-07-19,9265.256,11467.000,6806.800,444732.280,60.139,80.300,51.750,56.475,48
2012-07-20,9278.529,11023.440,7034.770,445369.380,62.307,82.990,50.820,59.330,48
2012-07-21,8684.421,10482.850,6826.310,416852.210,62.977,82.440,53.980,63.400,48
