SETTLEMENTDATE,TOTALDEMAND,RRP,date,year,month,day,hour,minute,weekday,is_weekend
2012-07-01 00:30:00,8097.930,57.040,2012-07-01,2012,7,1,0,30,6,True
2012-07-01 01:00:00,7852.570,53.690,2012-07-01,2012,7,1,1,0,6,True
2012-07-01 01:30:00,7632.280,51.940,2012-07-01,2012,7,1,1,30,6,True
2012-07-01 02:00:00,7384.700,52.130,2012-07-01,2012,7,1,2,0,6,True
2012-07-01 02:30:00,7112.430,47.440,2012-07-01,2012,7,1,2,30,6,True
2012-07-01 03:00:00,6819.540,45.970,2012-07-01,2012,7,1,3,0,6,True
2012-07-01 03:30:00,6681.840,41.910,2012-07-01,2012,7,1,3,30,6,True
2012-07-01 04:00:00,6608.370,34.420,2012-07-01,2012,7,1,4,0,6,True
2012-07-01 04:30:00,6517.260,46.810,2012-07-01,2012,7,1,4,30,6,True
2012-07-01 05:00:00,6458.570,50.050,2012-07-01,2012,7,1,5,0,6,True
2012-07-01 05:30:00,6583.260,52.630,2012-07-01,2012,7,1,5,30,6,True
2012-07-01 06:00:00,6681.670,51.450,2012-07-01,2012,7,1,6,0,6,True
2012-07-01 06:30:00,6854.620,50.660,2012-07-01,2012,7,1,6,30,6,True
2012-07-01 07:00:00,7133.540,52.450,2012-07-01,2012,7,1,7,0,6,True
2012-07-01 07:30:00,7411.690,52.500,2012-07-01,2012,7,1,7,30,6,True
2012-07-01 08:00:00,7936.870,55.040,2012-07-01,2012,7,1,8,0,6,True
2012-07-01 08:30:00,8433.150,55.200,2012-07-01,2012,7,1,8,30,6,True
2012-07-01 09:00:00,8827.220,58.770,2012-07-01,2012,7,1,9,0,6,True
2012-07-01 09:30:00,9089.800,60.490,2012-07-01,2012,7,1,9,30,6,True
2012-07-01 10:00:00,9149.780,60.400,2012-07-01,2012,7,1,10,0,6,True
2012-07-01 10:30:00,9135.860,60.660,2012-07-01,2012,7,1,10,30,6,True
2012-07-01 11:00:00,8908.700,57.220,2012-07-01,2012,7,1,11,0,6,True
2012-07-01 11:30:00,8861.620,58.660,2012-07-01,2012,7,1,11,30,6,True
2012-07-01 12:00:00,8871.930,59.000,2012-07-01,2012,7,1,12,0,6,True
2012-07-01 12:30:00,8748.040,57.980,2012-07-01,2012,7,1,12,30,6,True
2012-07-01 13:00:00,8707.820,58.680,2012-07-01,2012,7,1,13,0,6,True
2012-07-01 13:30:00,8579.130,58.370,2012-07-01,2012,7,1,13,30,6,True
2012-07-01 14:00:00,8462.840,57.760,2012-07-01,2012,7,1,14,0,6,True
2012-07-01 14:30:00,8385.190,56.980,2012-07-01,2012,7,1,14,30,6,True
2012-07-01 15:00:00,8438.270,58.840,2012-07-01,2012,7,1,15,0,6,True
2012-07-01 15:30:00,8474.060,55.780,2012-07-01,2012,7,1,15,30,6,True
2012-07-01 16:00:00,8647.910,57.090,2012-07-01,2012,7,1,16,0,6,True
2012-07-01 16:30:00,9027.430,61.160,2012-07-01,2012,7,1,16,30,6,True
2012-07-01 17:00:00,9562.300,65.690,2012-07-01,2012,7,1,17,0,6,True
2012-07-01 17:30:00,10171.420,66.530,2012-07-01,2012,7,1,17,30,6,True
2012-07-01 18:00:00,10800.050,79.590,2012-07-01,2012,7,1,18,0,6,True
2012-07-01 18:30:00,10901.710,76.210,2012-07-01,2012,7,1,18,30,6,True
2012-07-01 19:00:00,10768.170,71.080,2012-07-01,2012,7,1,19,0,6,True
2012-07-01 19:30:00,10550.600,69.180,2012-07-01,2012,7,1,19,30,6,True
2012-07-01 20:00:00,10329.510,65.330,2012-07-01,2012,7,1,20,0,6,True
2012-07-01 20:30:00,10229.920,64.330,2012-07-01,2012,7,1,20,30,6,True
2012-07-01 21:00:00,9960.490,62.760,2012-07-01,2012,7,1,21,0,6,True
2012-07-01 21:30:00,9806.490,63.510,2012-07-01,2012,7,1,21,30,6,True
2012-07-01 22:00:00,9573.190,63.140,2012-07-01,2012,7,1,22,0,6,True
2012-07-01 22:30:00,9295.940,66.580,2012-07-01,2012,7,1,22,30,6,True
2012-07-01 23:00:00,8905.210,61.040,2012-07-01,2012,7,1,23,0,6,True
2012-07-01 23:30:00,8691.270,63.090,2012-07-01,2012,7,1,23,30,6,True
2012-07-02 00:00:00,8445.390,61.000,2012-07-02,2012,7,2,0,0,0,False
2012-07-02 00:30:00,8127.580,55.930,2012-07-02,2012,7,2,0,30,0,False
2012-07-02 01:00:00,7907.780,54.670,2012-07-02,2012,7,2,1,0,0,False
2012-07-02 01:30:00,7705.560,55.390,2012-07-02,2012,7,2,1,30,0,False
2012-07-02 02:00:00,7571.620,54.840,2012-07-02,2012,7,2,2,0,0,False
2012-07-02 02:30:00,7257.120,53.790,2012-07-02,2012,7,2,2,30,0,False
2012-07-02 03:00:00,7000.830,53.860,2012-07-02,2012,7,2,3,0,0,False
2012-07-02 03:30:00,6883.920,53.900,2012-07-02,2012,7,2,3,30,0,False
2012-07-02 04:00:00,6800.310,53.870,2012-07-02,2012,7,2,4,0,0,False
2012-07-02 04:30:00,6854.600,53.900,2012-07-02,2012,7,2,4,30,0,False
2012-07-02 05:00:00,7032.000,54.090,2012-07-02,2012,7,2,5,0,0,False
2012-07-02 05:30:00,7375.030,57.580,2012-07-02,2012,7,2,5,30,0,False
2012-07-02 06:00:00,7872.040,60.510,2012-07-02,2012,7,2,6,0,0,False
2012-07-02 06:30:00,8607.820,67.550,2012-07-02,2012,7,2,6,30,0,False
2012-07-02 07:00:00,9316.530,80.330,2012-07-02,2012,7,2,7,0,0,False
2012-07-02 07:30:00,9745.770,70.850,2012-07-02,2012,7,2,7,30,0,False
2012-07-02 08:00:00,10255.880,88.310,2012-07-02,2012,7,2,8,0,0,False
2012-07-02 08:30:00,10498.500,97.500,2012-07-02,2012,7,2,8,30,0,False
2012-07-02 09:00:00,10513.240,89.610,2012-07-02,2012,7,2,9,0,0,False
2012-07-02 09:30:00,10488.490,83.320,2012-07-02,2012,7,2,9,30,0,False
2012-07-02 10:00:00,10401.940,89.620,2012-07-02,2012,7,2,10,0,0,False
2012-07-02 10:30:00,10247.320,78.940,2012-07-02,2012,7,2,10,30,0,False
2012-07-02 11:00:00,10069.470,75.070,2012-07-02,2012,7,2,11,0,0,False
2012-07-02 11:30:00,9887.680,85.290,2012-07-02,2012,7,2,11,30,0,False
2012-07-02 12:00:00,9755.550,89.380,2012-07-02,2012,7,2,12,0,0,False
2012-07-02 12:30:00,9680.100,-59.280,2012-07-02,2012,7,2,12,30,0,False
2012-07-02 13:00:00,9542.030,70.530,2012-07-02,2012,7,2,13,0,0,False
2012-07-02 13:30:00,9439.660,86.410,2012-07-02,2012,7,2,13,30,0,False
2012-07-02 14:00:00,9402.310,72.510,2012-07-02,2012,7,2,14,0,0,False
2012-07-02 14:30:00,9447.940,84.540,2012-07-02,2012,7,2,14,30,0,False
2012-07-02 15:00:00,9413.010,90.940,2012-07-02,2012,7,2,15,0,0,False
2012-07-02 15:30:00,9433.380,92.180,2012-07-02,2012,7,2,15,30,0,False
2012-07-02 16:00:00,9570.660,95.780,2012-07-02,2012,7,2,16,0,0,False
